id,name,type,energy,heat,durability,manufacturer,effects,rarity,description
scope_visor,Scope Visor,Head,1,1,2,Construction,"+10% crit; highlight lowest-HP target",Common,"Basic head crit utility"
overseer_ai,Overseer AI,Head,1,0,3,Clean Energy,"Prioritize nearest; +5% attack speed",Uncommon,"Light targeting boost"
fusion_core,Fusion Core,Core,2,2,3,Military,"+1 Energy next turn; +2 Heat cap",Uncommon,"Economy core"
coolant_tank,Coolant Tank,Core,1,-2,2,Clean Energy,"-1 Heat per tick while >0 Heat",Rare,"Enables overclock synergies"
rail_arm,Rail Arm,Arm,2,1,2,Military,"12 dmg shot; pierce 1",Uncommon,"Mainline DPS with pierce"
saw_arm,Saw Arm,Arm,1,2,3,Construction,"4 dmg + 2 bleed over 3s",Common,"DoT/armor shred flavor"
pulse_blaster,Pulse Blaster,Arm,1,0,3,Clean Energy,"6 dmg; +10% stagger chance",Common,"Reliable clean energy arm"
flak_arm,Flak Arm,Arm,1,2,2,Futuristic,"8 dmg; +25% vs shielded",Uncommon,"Anti-shield tech"
heavy_plating,Heavy Plating,Core,1,2,4,Construction,"+10 Armor until end of fight; -5% move speed",Common,"Survivability tradeoff"
tracked_legs,Tracked Legs,Leg,1,1,3,Construction,"+20% stability; -10% knockback",Common,"Baseline stability legs"
jump_jets,Jump Jets,Leg,2,2,2,Military,"+20% dodge burst every 5s",Rare,"Evade window legs"
overclock,Overclock,Utility,0,3,1,Futuristic,"+25% dmg this turn; +3 Heat instantly",Uncommon,"Burst with heat risk"
patch_kit,Patch Kit,Utility,0,0,1,Futuristic,"Heal 15 HP; purge 2 Heat",Common,"Emergency sustain"
auto_loader,Auto-Loader,Head,2,1,2,Military,"+15% attack speed",Rare,"Speed head"
capacitor,Capacitor,Core,0,0,1,Futuristic,"Store 1 unused Energy; release next turn",Common,"Smoothing economy"
reinforced_armature,Reinforced Armature,Leg,1,0,3,Clean Energy,"+10% move speed; +5% armor",Uncommon,"Mobility + slight armor"
